metrics_version,corpus_hash,document_id,source_hash,candidate_hash,scorer_config,reference,bertscore_precision,bertscore_recall,bertscore_f1
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,1,b9f97b264eb36725fbfd56f6fc1e531e2ea999878194898cfff444a9968d2d6b,27febbf80ee0ff5080ea4dc03bcc0fe4924eaca43d2bb379f40de2c3bd2e1b7d,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",natural,0.9551675319671631,0.9254521131515503,0.9400750398635864
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,1,b9f97b264eb36725fbfd56f6fc1e531e2ea999878194898cfff444a9968d2d6b,63b7190364ba60fd2e06ff503d2a0b9d40725bb96378aef8133f9c964480c1cd,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",strong,0.9423690438270569,0.9060792922973633,0.9238680005073547
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,2,0f0a9e6541014087afbb25e14a32d489cdb5a37eeee930e81673c42021608735,f630b9284c52308970dfb49ee9c10a56dcb9173af75258142e0919d5d757b6c6,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",natural,0.9201104044914246,0.9160382747650146,0.9180697798728943
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,2,0f0a9e6541014087afbb25e14a32d489cdb5a37eeee930e81673c42021608735,2a511e773e8d5a569a84e6615df49cfe296a800f36ca0d3de1d9c84fe212f0c8,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",strong,0.9169804453849792,0.9109522104263306,0.9139564037322998
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,3,1f674c40d956e46e36c47a09c0488b7658e14a9010112025313a27fe3ab32995,e7fbd94d22aa7517ac8f77c9550cbf387b33af8b8c4109fe359073c55fbd6e91,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",natural,0.9367578029632568,0.9281697273254395,0.9324439764022827
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,3,1f674c40d956e46e36c47a09c0488b7658e14a9010112025313a27fe3ab32995,32fb8dfc0a4aba2cd72990b01a10035b6bbd60c3e700c910cc90aeff5a48d94f,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",strong,0.9254002571105957,0.9144312739372253,0.9198830723762512
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,4,d9f1acafc4f1d4f07c2517d4920b0368dc88bd760aa9c2e08de0b4f6537557cf,681c1796f93ee4208f88477dddc39de331df6c461a9b6560fc5d1460f2434ae2,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",natural,0.9275171756744385,0.9161871671676636,0.9218173027038574
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,4,d9f1acafc4f1d4f07c2517d4920b0368dc88bd760aa9c2e08de0b4f6537557cf,09817ae3ac4f2e0f4bbbd8641b2e607f54dbd2fdedca53f76f25f58ade54cc54,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",strong,0.920535147190094,0.9038421511650085,0.912112295627594
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,5,2b120550f00ef9097f64eff2686ad34af128a9cc8877d784e4196c8e3526c0eb,d60e55a5cf240dea261e8a4bed7e79e6c37cad9d722314c2db20b5715bf21fe8,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",natural,0.9358928799629211,0.9299956560134888,0.9329348802566528
1.0,7c0dee939979842cb9174c0c032b260421ed41056cded2c93436cfa37b819a2a,5,2b120550f00ef9097f64eff2686ad34af128a9cc8877d784e4196c8e3526c0eb,8467445b7ca28219f07059da183c29658e13de01b9653f6ee96994290fc23c16,"{""bert_score_version"": ""0.3.13"", ""device"": ""cpu"", ""idf"": false, ""lang"": ""pt"", ""metrics_version"": ""1.0"", ""model"": ""xlm-roberta-base"", ""num_layers"": 9, ""rescale_with_baseline"": false, ""torch_version"": ""2.2.2"", ""transformers_version"": ""4.44.2""}",strong,0.9304572343826294,0.9221199154853821,0.9262697696685791
